"","Survived","Pclass","Sex","SibSp","Parch","Cabin","Embarked","relative","not_alone","Agerange","Faregroup"
"1",0,3,1,1,0,0,0,1,0,3,1
"2",1,1,0,1,0,3,1,1,0,4,1
"3",1,3,0,0,0,0,0,0,1,3,1
"4",1,1,0,1,0,3,0,1,0,4,1
"5",0,3,1,0,0,0,0,0,1,4,1
"6",0,3,1,0,0,0,2,0,1,3,1
"7",0,1,1,0,0,5,0,0,1,5,1
"8",0,3,1,3,1,0,0,4,0,1,1
"9",1,3,0,0,2,0,0,2,0,3,1
"10",1,2,0,1,0,0,1,1,0,2,1
"11",1,3,0,1,1,7,0,2,0,2,1
"12",1,1,0,0,0,3,0,0,1,5,1
"13",0,3,1,0,0,0,0,0,1,3,1
"14",0,3,1,1,5,0,0,6,0,4,1
"15",0,3,0,0,0,0,0,0,1,2,1
"16",1,2,0,0,0,0,0,0,1,5,1
"17",0,3,1,4,1,0,2,5,0,1,1
"18",1,2,1,0,0,0,0,0,1,3,1
"19",0,3,0,1,0,0,0,1,0,4,1
"20",1,3,0,0,0,0,1,0,1,3,1
"21",0,2,1,0,0,0,0,0,1,4,1
"22",1,2,1,0,0,4,0,0,1,4,1
"23",1,3,0,0,0,0,2,0,1,2,1
"24",1,1,1,0,0,1,0,0,1,3,1
"25",0,3,0,3,1,0,0,4,0,2,1
"26",1,3,0,1,5,0,0,6,0,4,1
"27",0,3,1,0,0,0,1,0,1,3,1
"28",0,1,1,3,2,3,0,5,0,3,4
"29",1,3,0,0,0,0,2,0,1,3,1
"30",0,3,1,0,0,0,0,0,1,3,1
"31",0,1,1,0,0,0,1,0,1,4,1
"32",1,1,0,1,0,2,1,1,0,3,2
"33",1,3,0,0,0,0,2,0,1,3,1
"34",0,2,1,0,0,0,0,0,1,6,1
"35",0,1,1,1,0,0,1,1,0,3,1
"36",0,1,1,1,0,0,0,1,0,4,1
"37",1,3,1,0,0,0,1,0,1,3,1
"38",0,3,1,0,0,0,0,0,1,3,1
"39",0,3,0,2,0,0,0,2,0,3,1
"40",1,3,0,1,0,0,1,1,0,2,1
"41",0,3,0,1,0,0,0,1,0,4,1
"42",0,2,0,1,0,0,0,1,0,3,1
"43",0,3,1,0,0,0,1,0,1,3,1
"44",1,2,0,1,2,0,1,3,0,2,1
"45",1,3,0,0,0,0,2,0,1,3,1
"46",0,3,1,0,0,0,0,0,1,3,1
"47",0,3,1,1,0,0,2,1,0,3,1
"48",1,3,0,0,0,0,2,0,1,3,1
"49",0,3,1,2,0,0,1,2,0,3,1
"50",0,3,0,1,0,0,0,1,0,3,1
"51",0,3,1,4,1,0,0,5,0,2,1
"52",0,3,1,0,0,0,0,0,1,3,1
"53",1,1,0,1,0,4,1,1,0,5,1
"54",1,2,0,1,0,0,0,1,0,3,1
"55",0,1,1,0,1,2,1,1,0,6,1
"56",1,1,1,0,0,3,0,0,1,3,1
"57",1,2,0,0,0,0,0,0,1,3,1
"58",0,3,1,0,0,0,1,0,1,3,1
"59",1,2,0,1,2,0,0,3,0,2,1
"60",0,3,1,5,2,0,0,7,0,2,1
"61",0,3,1,0,0,0,1,0,1,3,1
"62",1,1,0,0,0,2,0,0,1,4,1
"63",0,1,1,1,0,3,0,1,0,4,1
"64",0,3,1,3,2,0,0,5,0,2,1
"65",0,1,1,0,0,0,1,0,1,3,1
"66",1,3,1,1,1,0,1,2,0,3,1
"67",1,2,0,0,0,6,0,0,1,3,1
"68",0,3,1,0,0,0,0,0,1,3,1
"69",1,3,0,4,2,0,0,6,0,3,1
"70",0,3,1,2,0,0,0,2,0,3,1
"71",0,2,1,0,0,0,0,0,1,4,1
"72",0,3,0,5,2,0,0,7,0,2,1
"73",0,2,1,0,0,0,0,0,1,3,1
"74",0,3,1,1,0,0,1,1,0,3,1
"75",1,3,1,0,0,0,0,0,1,4,1
"76",0,3,1,0,0,6,0,0,1,3,1
"77",0,3,1,0,0,0,0,0,1,3,1
"78",0,3,1,0,0,0,0,0,1,3,1
"79",1,2,1,0,2,0,0,2,0,1,1
"80",1,3,0,0,0,0,0,0,1,3,1
"81",0,3,1,0,0,0,0,0,1,3,1
"82",1,3,1,0,0,0,0,0,1,3,1
"83",1,3,0,0,0,0,2,0,1,3,1
"84",0,1,1,0,0,0,0,0,1,3,1
"85",1,2,0,0,0,0,0,0,1,3,1
"86",1,3,0,3,0,0,0,3,0,4,1
"87",0,3,1,1,3,0,0,4,0,2,1
"88",0,3,1,0,0,0,0,0,1,3,1
"89",1,1,0,3,2,3,0,5,0,3,4
"90",0,3,1,0,0,0,0,0,1,3,1
"91",0,3,1,0,0,0,0,0,1,3,1
"92",0,3,1,0,0,0,0,0,1,3,1
"93",0,1,1,1,0,5,0,1,0,5,1
"94",0,3,1,1,2,0,0,3,0,3,1
"95",0,3,1,0,0,0,0,0,1,5,1
"96",0,3,1,0,0,0,0,0,1,3,1
"97",0,1,1,0,0,1,1,0,1,6,1
"98",1,1,1,0,1,4,1,1,0,3,1
"99",1,2,0,0,1,0,0,1,0,4,1
"100",0,2,1,1,0,0,0,1,0,4,1
"101",0,3,0,0,0,0,0,0,1,3,1
"102",0,3,1,0,0,0,0,0,1,3,1
"103",0,1,1,0,1,4,0,1,0,3,1
"104",0,3,1,0,0,0,0,0,1,4,1
"105",0,3,1,2,0,0,0,2,0,4,1
"106",0,3,1,0,0,0,0,0,1,3,1
"107",1,3,0,0,0,0,0,0,1,3,1
"108",1,3,1,0,0,0,0,0,1,3,1
"109",0,3,1,0,0,0,0,0,1,4,1
"110",1,3,0,1,0,0,2,1,0,3,1
"111",0,1,1,0,0,3,0,0,1,5,1
"112",0,3,0,1,0,0,1,1,0,2,1
"113",0,3,1,0,0,0,0,0,1,3,1
"114",0,3,0,1,0,0,0,1,0,3,1
"115",0,3,0,0,0,0,1,0,1,3,1
"116",0,3,1,0,0,0,0,0,1,3,1
"117",0,3,1,0,0,0,2,0,1,6,1
"118",0,2,1,1,0,0,0,1,0,3,1
"119",0,1,1,0,1,2,1,1,0,3,3
"120",0,3,0,4,2,0,0,6,0,1,1
"121",0,2,1,2,0,0,0,2,0,3,1
"122",0,3,1,0,0,0,0,0,1,3,1
"123",0,2,1,1,0,0,1,1,0,4,1
"124",1,2,0,0,0,5,0,0,1,4,1
"125",0,1,1,0,1,4,0,1,0,5,1
"126",1,3,1,1,0,0,1,1,0,2,1
"127",0,3,1,0,0,0,2,0,1,3,1
"128",1,3,1,0,0,0,0,0,1,3,1
"129",1,3,0,1,1,6,1,2,0,3,1
"130",0,3,1,0,0,0,0,0,1,4,1
"131",0,3,1,0,0,0,1,0,1,4,1
"132",0,3,1,0,0,0,0,0,1,3,1
"133",0,3,0,1,0,0,0,1,0,5,1
"134",1,2,0,1,0,0,0,1,0,3,1
"135",0,2,1,0,0,0,0,0,1,3,1
"136",0,2,1,0,0,0,1,0,1,3,1
"137",1,1,0,0,2,4,0,2,0,3,1
"138",0,1,1,1,0,3,0,1,0,4,1
"139",0,3,1,0,0,0,0,0,1,2,1
"140",0,1,1,0,0,2,1,0,1,3,1
"141",0,3,0,0,2,0,1,2,0,3,1
"142",1,3,0,0,0,0,0,0,1,3,1
"143",1,3,0,1,0,0,0,1,0,3,1
"144",0,3,1,0,0,0,2,0,1,3,1
"145",0,2,1,0,0,0,0,0,1,3,1
"146",0,2,1,1,1,0,0,2,0,3,1
"147",1,3,1,0,0,0,0,0,1,3,1
"148",0,3,0,2,2,0,0,4,0,2,1
"149",0,2,1,0,2,6,0,2,0,4,1
"150",0,2,1,0,0,0,0,0,1,4,1
"151",0,2,1,0,0,0,0,0,1,5,1
"152",1,1,0,1,0,3,0,1,0,3,1
"153",0,3,1,0,0,0,0,0,1,5,1
"154",0,3,1,0,2,0,0,2,0,4,1
"155",0,3,1,0,0,0,0,0,1,3,1
"156",0,1,1,0,1,0,1,1,0,5,1
"157",1,3,0,0,0,0,2,0,1,2,1
"158",0,3,1,0,0,0,0,0,1,3,1
"159",0,3,1,0,0,0,0,0,1,3,1
"160",0,3,1,8,2,0,0,10,0,3,1
"161",0,3,1,0,1,0,0,1,0,4,1
"162",1,2,0,0,0,0,0,0,1,4,1
"163",0,3,1,0,0,0,0,0,1,3,1
"164",0,3,1,0,0,0,0,0,1,3,1
"165",0,3,1,4,1,0,0,5,0,1,1
"166",1,3,1,0,2,0,0,2,0,2,1
"167",1,1,0,0,1,5,0,1,0,3,1
"168",0,3,0,1,4,0,0,5,0,4,1
"169",0,1,1,0,0,0,0,0,1,3,1
"170",0,3,1,0,0,0,0,0,1,3,1
"171",0,1,1,0,0,2,0,0,1,6,1
"172",0,3,1,4,1,0,2,5,0,2,1
"173",1,3,0,1,1,0,0,2,0,1,1
"174",0,3,1,0,0,0,0,0,1,3,1
"175",0,1,1,0,0,1,1,0,1,5,1
"176",0,3,1,1,1,0,0,2,0,3,1
"177",0,3,1,3,1,0,0,4,0,3,1
"178",0,1,0,0,0,3,1,0,1,5,1
"179",0,2,1,0,0,0,0,0,1,3,1
"180",0,3,1,0,0,0,0,0,1,4,1
"181",0,3,0,8,2,0,0,10,0,3,1
"182",0,2,1,0,0,0,1,0,1,3,1
"183",0,3,1,4,2,0,0,6,0,2,1
"184",1,2,1,2,1,6,0,3,0,1,1
"185",1,3,0,0,2,0,0,2,0,2,1
"186",0,1,1,0,0,1,0,0,1,3,1
"187",1,3,0,1,0,0,2,1,0,3,1
"188",1,1,1,0,0,0,0,0,1,4,1
"189",0,3,1,1,1,0,2,2,0,4,1
"190",0,3,1,0,0,0,0,0,1,4,1
"191",1,2,0,0,0,0,0,0,1,4,1
"192",0,2,1,0,0,0,0,0,1,3,1
"193",1,3,0,1,0,0,0,1,0,3,1
"194",1,2,1,1,1,6,0,2,0,2,1
"195",1,1,0,0,0,2,1,0,1,4,1
"196",1,1,0,0,0,2,1,0,1,5,2
"197",0,3,1,0,0,0,2,0,1,3,1
"198",0,3,1,0,1,0,0,1,0,4,1
"199",1,3,0,0,0,0,2,0,1,3,1
"200",0,2,0,0,0,0,0,0,1,3,1
"201",0,3,1,0,0,0,0,0,1,3,1
"202",0,3,1,8,2,0,0,10,0,3,1
"203",0,3,1,0,0,0,0,0,1,4,1
"204",0,3,1,0,0,0,1,0,1,4,1
"205",1,3,1,0,0,0,0,0,1,3,1
"206",0,3,0,0,1,7,0,1,0,1,1
"207",0,3,1,1,0,0,0,1,0,4,1
"208",1,3,1,0,0,0,1,0,1,3,1
"209",1,3,0,0,0,0,2,0,1,2,1
"210",1,1,1,0,0,1,1,0,1,4,1
"211",0,3,1,0,0,0,0,0,1,3,1
"212",1,2,0,0,0,0,0,0,1,4,1
"213",0,3,1,0,0,0,0,0,1,3,1
"214",0,2,1,0,0,0,0,0,1,3,1
"215",0,3,1,1,0,0,2,1,0,3,1
"216",1,1,0,1,0,4,1,1,0,4,2
"217",1,3,0,0,0,0,0,0,1,3,1
"218",0,2,1,1,0,0,0,1,0,4,1
"219",1,1,0,0,0,4,1,0,1,4,1
"220",0,2,1,0,0,0,0,0,1,3,1
"221",1,3,1,0,0,0,0,0,1,2,1
"222",0,2,1,0,0,0,0,0,1,3,1
"223",0,3,1,0,0,0,0,0,1,5,1
"224",0,3,1,0,0,0,0,0,1,3,1
"225",1,1,1,1,0,3,0,1,0,4,2
"226",0,3,1,0,0,0,0,0,1,3,1
"227",1,2,1,0,0,0,0,0,1,3,1
"228",0,3,1,0,0,0,0,0,1,3,1
"229",0,2,1,0,0,0,0,0,1,3,1
"230",0,3,0,3,1,0,0,4,0,3,1
"231",1,1,0,1,0,3,0,1,0,4,1
"232",0,3,1,0,0,0,0,0,1,3,1
"233",0,2,1,0,0,0,0,0,1,5,1
"234",1,3,0,4,2,0,0,6,0,2,1
"235",0,2,1,0,0,0,0,0,1,3,1
"236",0,3,0,0,0,0,0,0,1,3,1
"237",0,2,1,1,0,0,0,1,0,4,1
"238",1,2,0,0,2,0,0,2,0,2,1
"239",0,2,1,0,0,0,0,0,1,3,1
"240",0,2,1,0,0,0,0,0,1,4,1
"241",0,3,0,1,0,0,1,1,0,3,1
"242",1,3,0,1,0,0,2,1,0,3,1
"243",0,2,1,0,0,0,0,0,1,3,1
"244",0,3,1,0,0,0,0,0,1,3,1
"245",0,3,1,0,0,0,1,0,1,3,1
"246",0,1,1,2,0,3,2,2,0,4,2
"247",0,3,0,0,0,0,0,0,1,3,1
"248",1,2,0,0,2,0,0,2,0,3,1
"249",1,1,1,1,1,4,0,2,0,4,1
"250",0,2,1,1,0,0,0,1,0,5,1
"251",0,3,1,0,0,0,0,0,1,3,1
"252",0,3,0,1,1,7,0,2,0,3,1
"253",0,1,1,0,0,3,0,0,1,6,1
"254",0,3,1,1,0,0,0,1,0,3,1
"255",0,3,0,0,2,0,0,2,0,4,1
"256",1,3,0,0,2,0,1,2,0,3,1
"257",1,1,0,0,0,0,1,0,1,3,1
"258",1,1,0,0,0,2,0,0,1,3,2
"259",1,1,0,0,0,0,1,0,1,4,6
"260",1,2,0,0,1,0,0,1,0,5,1
"261",0,3,1,0,0,0,2,0,1,3,1
"262",1,3,1,4,2,0,0,6,0,2,1
"263",0,1,1,1,1,5,0,2,0,5,1
"264",0,1,1,0,0,2,0,0,1,4,1
"265",0,3,0,0,0,0,2,0,1,3,1
"266",0,2,1,0,0,0,0,0,1,4,1
"267",0,3,1,4,1,0,0,5,0,2,1
"268",1,3,1,1,0,0,0,1,0,3,1
"269",1,1,0,0,1,3,0,1,0,5,2
"270",1,1,0,0,0,3,0,0,1,4,2
"271",0,1,1,0,0,0,0,0,1,3,1
"272",1,3,1,0,0,0,0,0,1,3,1
"273",1,2,0,0,1,0,0,1,0,4,1
"274",0,1,1,0,1,3,1,1,0,4,1
"275",1,3,0,0,0,0,2,0,1,3,1
"276",1,1,0,1,0,4,0,1,0,6,1
"277",0,3,0,0,0,0,0,0,1,4,1
"278",0,2,1,0,0,0,0,0,1,3,1
"279",0,3,1,4,1,0,2,5,0,2,1
"280",1,3,0,1,1,0,0,2,0,4,1
"281",0,3,1,0,0,0,2,0,1,6,1
"282",0,3,1,0,0,0,0,0,1,3,1
"283",0,3,1,0,0,0,0,0,1,2,1
"284",1,3,1,0,0,0,0,0,1,3,1
"285",0,1,1,0,0,1,0,0,1,3,1
"286",0,3,1,0,0,0,1,0,1,4,1
"287",1,3,1,0,0,0,0,0,1,3,1
"288",0,3,1,0,0,0,0,0,1,3,1
"289",1,2,1,0,0,0,0,0,1,4,1
"290",1,3,0,0,0,0,2,0,1,3,1
"291",1,1,0,0,0,0,0,0,1,3,1
"292",1,1,0,1,0,2,1,1,0,3,2
"293",0,2,1,0,0,4,1,0,1,4,1
"294",0,3,0,0,0,0,0,0,1,3,1
"295",0,3,1,0,0,0,0,0,1,3,1
"296",0,1,1,0,0,0,1,0,1,3,1
"297",0,3,1,0,0,0,1,0,1,3,1
"298",0,1,0,1,2,3,0,3,0,1,2
"299",1,1,1,0,0,3,0,0,1,3,1
"300",1,1,0,0,1,2,1,1,0,5,3
"301",1,3,0,0,0,0,2,0,1,3,1
"302",1,3,1,2,0,0,2,2,0,3,1
"303",0,3,1,0,0,0,0,0,1,3,1
"304",1,2,0,0,0,5,2,0,1,3,1
"305",0,3,1,0,0,0,0,0,1,3,1
"306",1,1,1,1,2,3,0,3,0,1,2
"307",1,1,0,0,0,0,1,0,1,3,2
"308",1,1,0,1,0,3,1,1,0,3,2
"309",0,2,1,1,0,0,1,1,0,3,1
"310",1,1,0,0,0,5,1,0,1,3,1
"311",1,1,0,0,0,3,1,0,1,3,1
"312",1,1,0,2,2,2,1,4,0,3,4
"313",0,2,0,1,1,0,0,2,0,3,1
"314",0,3,1,0,0,0,0,0,1,3,1
"315",0,2,1,1,1,0,0,2,0,4,1
"316",1,3,0,0,0,0,0,0,1,3,1
"317",1,2,0,1,0,0,0,1,0,3,1
"318",0,2,1,0,0,0,0,0,1,5,1
"319",1,1,0,0,2,3,0,2,0,4,2
"320",1,1,0,1,1,5,1,2,0,4,2
"321",0,3,1,0,0,0,0,0,1,3,1
"322",0,3,1,0,0,0,0,0,1,3,1
"323",1,2,0,0,0,0,2,0,1,3,1
"324",1,2,0,1,1,0,0,2,0,3,1
"325",0,3,1,8,2,0,0,10,0,3,1
"326",1,1,0,0,0,3,1,0,1,4,2
"327",0,3,1,0,0,0,0,0,1,6,1
"328",1,2,0,0,0,4,0,0,1,4,1
"329",1,3,0,1,1,0,0,2,0,4,1
"330",1,1,0,0,1,2,1,1,0,2,1
"331",1,3,0,2,0,0,2,2,0,3,1
"332",0,1,1,0,0,3,0,0,1,4,1
"333",0,1,1,0,1,3,0,1,0,4,2
"334",0,3,1,2,0,0,0,2,0,2,1
"335",1,1,0,1,0,0,0,1,0,3,2
"336",0,3,1,0,0,0,0,0,1,3,1
"337",0,1,1,1,0,3,0,1,0,3,1
"338",1,1,0,0,0,5,1,0,1,4,2
"339",1,3,1,0,0,0,0,0,1,4,1
"340",0,1,1,0,0,8,0,0,1,4,1
"341",1,2,1,1,1,6,0,2,0,1,1
"342",1,1,0,3,2,3,0,5,0,3,4
"343",0,2,1,0,0,0,0,0,1,3,1
"344",0,2,1,0,0,0,0,0,1,3,1
"345",0,2,1,0,0,0,0,0,1,4,1
"346",1,2,0,0,0,6,0,0,1,3,1
"347",1,2,0,0,0,0,0,0,1,4,1
"348",1,3,0,1,0,0,0,1,0,3,1
"349",1,3,1,1,1,0,0,2,0,2,1
"350",0,3,1,0,0,0,0,0,1,4,1
"351",0,3,1,0,0,0,0,0,1,3,1
"352",0,1,1,0,0,3,0,0,1,3,1
"353",0,3,1,1,1,0,1,2,0,2,1
"354",0,3,1,1,0,0,0,1,0,3,1
"355",0,3,1,0,0,0,1,0,1,3,1
"356",0,3,1,0,0,0,0,0,1,3,1
"357",1,1,0,0,1,5,0,1,0,3,1
"358",0,2,0,0,0,0,0,0,1,4,1
"359",1,3,0,0,0,0,2,0,1,3,1
"360",1,3,0,0,0,0,2,0,1,3,1
"361",0,3,1,1,4,0,0,5,0,4,1
"362",0,2,1,1,0,0,1,1,0,3,1
"363",0,3,0,0,1,0,1,1,0,4,1
"364",0,3,1,0,0,0,0,0,1,4,1
"365",0,3,1,1,0,0,2,1,0,3,1
"366",0,3,1,0,0,0,0,0,1,3,1
"367",1,1,0,1,0,4,1,1,0,5,1
"368",1,3,0,0,0,0,1,0,1,3,1
"369",1,3,0,0,0,0,2,0,1,3,1
"370",1,1,0,0,0,2,1,0,1,3,1
"371",1,1,1,1,0,5,1,1,0,3,1
"372",0,3,1,1,0,0,0,1,0,3,1
"373",0,3,1,0,0,0,0,0,1,3,1
"374",0,1,1,0,0,0,1,0,1,3,2
"375",0,3,0,3,1,0,0,4,0,2,1
"376",1,1,0,1,0,0,1,1,0,3,1
"377",1,3,0,0,0,0,0,0,1,3,1
"378",0,1,1,0,2,3,1,2,0,3,3
"379",0,3,1,0,0,0,1,0,1,3,1
"380",0,3,1,0,0,0,0,0,1,3,1
"381",1,1,0,0,0,0,1,0,1,4,3
"382",1,3,0,0,2,0,1,2,0,1,1
"383",0,3,1,0,0,0,0,0,1,4,1
"384",1,1,0,1,0,0,0,1,0,4,1
"385",0,3,1,0,0,0,0,0,1,3,1
"386",0,2,1,0,0,0,0,0,1,3,1
"387",0,3,1,5,2,0,0,7,0,1,1
"388",1,2,0,0,0,0,0,0,1,4,1
"389",0,3,1,0,0,0,2,0,1,3,1
"390",1,2,0,0,0,0,1,0,1,3,1
"391",1,1,1,1,2,2,0,3,0,4,2
"392",1,3,1,0,0,0,0,0,1,3,1
"393",0,3,1,2,0,0,0,2,0,3,1
"394",1,1,0,1,0,4,1,1,0,3,2
"395",1,3,0,0,2,7,0,2,0,3,1
"396",0,3,1,0,0,0,0,0,1,3,1
"397",0,3,0,0,0,0,0,0,1,4,1
"398",0,2,1,0,0,0,0,0,1,5,1
"399",0,2,1,0,0,0,0,0,1,3,1
"400",1,2,0,0,0,0,0,0,1,3,1
"401",1,3,1,0,0,0,0,0,1,4,1
"402",0,3,1,0,0,0,0,0,1,3,1
"403",0,3,0,1,0,0,0,1,0,3,1
"404",0,3,1,1,0,0,0,1,0,3,1
"405",0,3,0,0,0,0,0,0,1,3,1
"406",0,2,1,1,0,0,0,1,0,4,1
"407",0,3,1,0,0,0,0,0,1,5,1
"408",1,2,1,1,1,0,0,2,0,2,1
"409",0,3,1,0,0,0,0,0,1,3,1
"410",0,3,0,3,1,0,0,4,0,3,1
"411",0,3,1,0,0,0,0,0,1,3,1
"412",0,3,1,0,0,0,2,0,1,3,1
"413",1,1,0,1,0,3,2,1,0,4,2
"414",0,2,1,0,0,0,0,0,1,3,1
"415",1,3,1,0,0,0,0,0,1,4,1
"416",0,3,0,0,0,0,0,0,1,3,1
"417",1,2,0,1,1,0,0,2,0,4,1
"418",1,2,0,0,2,0,0,2,0,3,1
"419",0,2,1,0,0,0,0,0,1,3,1
"420",0,3,0,0,2,0,0,2,0,2,1
"421",0,3,1,0,0,0,1,0,1,3,1
"422",0,3,1,0,0,0,2,0,1,3,1
"423",0,3,1,0,0,0,0,0,1,3,1
"424",0,3,0,1,1,0,0,2,0,3,1
"425",0,3,1,1,1,0,0,2,0,3,1
"426",0,3,1,0,0,0,0,0,1,3,1
"427",1,2,0,1,0,0,0,1,0,3,1
"428",1,2,0,0,0,0,0,0,1,3,1
"429",0,3,1,0,0,0,2,0,1,3,1
"430",1,3,1,0,0,5,0,0,1,4,1
"431",1,1,1,0,0,3,0,0,1,3,1
"432",1,3,0,1,0,0,0,1,0,3,1
"433",1,2,0,1,0,0,0,1,0,4,1
"434",0,3,1,0,0,0,0,0,1,3,1
"435",0,1,1,1,0,5,0,1,0,5,1
"436",1,1,0,1,2,2,0,3,0,2,2
"437",0,3,0,2,2,0,0,4,0,3,1
"438",1,2,0,2,3,0,0,5,0,3,1
"439",0,1,1,1,4,3,0,5,0,6,4
"440",0,2,1,0,0,0,0,0,1,4,1
"441",1,2,0,1,1,0,0,2,0,4,1
"442",0,3,1,0,0,0,0,0,1,3,1
"443",0,3,1,1,0,0,0,1,0,3,1
"444",1,2,0,0,0,0,0,0,1,3,1
"445",1,3,1,0,0,0,0,0,1,3,1
